Lep_family,Lep_accepted_name,PD,Num.families,mpd.obs,mpd.obs.z,mntd.obs,mntd.obs.z,host.module
Hedylidae,Macrosoma hyacinthina,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hedylidae,Macrosoma rubedinaria,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hedylidae,Macrosoma tipulata,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Abantis tettensis,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,
Hesperiidae,Abraximorpha davidii,325.050892,1,189.1223,-0.752323687,189.1223,-0.760538946,
Hesperiidae,Acada biseriata,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Achalarus casica,448.784822,2,247.46887,-0.317314189,247.46887,-0.317031825,
Hesperiidae,Achalarus lyciades,448.784822,2,247.46887,-0.317314189,247.46887,-0.317031825,
Hesperiidae,Achalarus toxeus,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Achlyodes busirus,325.049924,1,118,-1.841016096,118,-1.713297661,
Hesperiidae,Achlyodes pallida,325.049924,1,118,-1.841016096,118,-1.713297661,
Hesperiidae,Acleros ploetzi,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Adopaeoides prittwitzi,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Aeromachus stigmata,325.049505,1,87.6679,-2.205113045,87.6679,-1.97275177,
Hesperiidae,Agathymus aryxna,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,
Hesperiidae,Agathymus mariae,325.050132,1,135.10077,-1.582455571,135.10077,-1.616411111,
Hesperiidae,Aguna asander,448.784992,2,247.46924,-0.329388238,247.46924,-0.222025097,
Hesperiidae,Aguna claxon,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Aguna metophis,325.050502,1,192,-0.773400109,192,-0.886740072,
Hesperiidae,Aides duma,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,
Hesperiidae,Alenia namaqua,325.049922,1,69.4758,-1.866533435,69.4758,-4.04570489,
Hesperiidae,Allora major,325.050687,1,102.661,-1.765844354,102.661,-1.474040382,
Hesperiidae,Amblyscirtes eos,460.809005,2,271.516773,0.106054233,271.516773,-0.154217865,
Hesperiidae,Amblyscirtes simius,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
Hesperiidae,Ampittia dioscorides,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,
