Species, Module #, Module name,,,,,,,,,,,,,,,,,,,,,,,
Abaeis nicippe,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Abantis tettensis,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Abisara bifasciata,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Abisara burnii,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Abisara geza,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Abisara kausambi,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Abraximorpha davidii,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Abrota ganga,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Acada biseriata,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Achlyodes busirus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Acleros ploetzi,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Acraea abana,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Acraea horta,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Acraea neleus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Acraea tenebrosa,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Acrodipsas myrmecophila,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Acrophtalmia artemis,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Acrophtalmia leuce,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Acytolepis puspa,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Adelpha mesentina,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Adopaeoides prittwitzi,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aemona amathusia,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aeria eurimedia,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Aeromachus stigmata,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aeropetes tulbaghia,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aethiopana honorius,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Afarsia morgiana,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Afrodryas leda,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Agara belti,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Agatasa calydonia,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Agathymus aryxna,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Agathymus mariae,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Aglais io,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aglais urticae,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Agraulis vanillae,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Agriades optilete,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aguna asander,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
