ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs
Abaeis nicippe	1	NA	NA	NA	NA	NA	NA	99
Abananote abana	1	NA	NA	NA	NA	NA	NA	99
Abantis tettensis	1	NA	NA	NA	NA	NA	NA	99
Abisara bifasciata	1	NA	NA	NA	NA	NA	NA	99
Abisara burnii	1	NA	NA	NA	NA	NA	NA	99
Abisara geza	1	NA	NA	NA	NA	NA	NA	99
Abisara kausambi	1	NA	NA	NA	NA	NA	NA	99
Abraximorpha davidii	1	NA	NA	NA	NA	NA	NA	99
Abrota ganga	2	244.81111	281.587535626263	110.355157033565	18	-0.333255161016869	0.18	99
Acada biseriata	1	NA	NA	NA	NA	NA	NA	99
Achalarus casica	2	247.46887	259.863527555556	73.6021170565142	43	-0.168400829367972	0.43	99
Achalarus lyciades	2	247.46887	259.863527555556	73.6021170565142	43	-0.168400829367972	0.43	99
Achalarus toxeus	1	NA	NA	NA	NA	NA	NA	99
Achlyodes busirus	1	NA	NA	NA	NA	NA	NA	99
Achlyodes pallida	1	NA	NA	NA	NA	NA	NA	99
Acleros ploetzi	1	NA	NA	NA	NA	NA	NA	99
Acraea horta	2	188.72406	271.554254313131	91.3012116645061	4	-0.907219004031378	0.04	99
Acrodipsas myrmecophila	0	NA	NA	NA	NA	NA	NA	99
Acrophtalmia artemis	0	NA	NA	NA	NA	NA	NA	99
Acrophtalmia leuce	0	NA	NA	NA	NA	NA	NA	99
Acytolepis puspa	13	207.867196615385	220.492694320124	22.7904888946483	34	-0.553980994576402	0.34	99
Adelpha mesentina	1	NA	NA	NA	NA	NA	NA	99
Adopaeoides prittwitzi	1	NA	NA	NA	NA	NA	NA	99
Aemona amathusia	1	NA	NA	NA	NA	NA	NA	99
Aeria eurimedia	1	NA	NA	NA	NA	NA	NA	99
Aeromachus stigmata	1	NA	NA	NA	NA	NA	NA	99
Aeropetes tulbaghia	1	NA	NA	NA	NA	NA	NA	99
Aethiopana honorius	0	NA	NA	NA	NA	NA	NA	99
Afarsia morgiana	1	NA	NA	NA	NA	NA	NA	99
Afrodryas leda	2	133.2723	271.288718929293	91.3876468136832	2	-1.51023058084288	0.02	99
Agatasa calydonia	1	NA	NA	NA	NA	NA	NA	99
Agathymus aryxna	1	NA	NA	NA	NA	NA	NA	99
Agathymus mariae	1	NA	NA	NA	NA	NA	NA	99
Aglais io	4	162.5346875	255.766631820707	47.2844214595679	2	-1.97172644695311	0.02	99
Aglais urticae	3	163.932716666667	259.627247299663	53.6108447302234	2	-1.78498457009106	0.02	99
Agraulis vanillae	1	NA	NA	NA	NA	NA	NA	99
Agriades optilete	1	NA	NA	NA	NA	NA	NA	99
Aguna asander	2	247.46904	274.845168333333	97.0849515593842	39	-0.281981171063243	0.39	99
Aguna claxon	1	NA	NA	NA	NA	NA	NA	99
Aguna metophis	1	NA	NA	NA	NA	NA	NA	99
Ahmetia achaja	1	NA	NA	NA	NA	NA	NA	99
Aides duma	1	NA	NA	NA	NA	NA	NA	99
Alaena amazoula	1	NA	NA	NA	NA	NA	NA	99
Alenia namaqua	1	NA	NA	NA	NA	NA	NA	99
Allora major	1	NA	NA	NA	NA	NA	NA	99
Allotinus fallax	0	NA	NA	NA	NA	NA	NA	99
Allotinus unicolor	0	NA	NA	NA	NA	NA	NA	99
Aloeides pierus	1	NA	NA	NA	NA	NA	NA	99
Alpherakya sarta	2	244.81156	273.110507171717	98.8847347531859	26	-0.286181150633116	0.26	99
Altinote neleus	1	NA	NA	NA	NA	NA	NA	99
Altinote tenebrosa	1	NA	NA	NA	NA	NA	NA	99
Altopedaliodes tena	1	NA	NA	NA	NA	NA	NA	99
Amathusia phidippus	2	196.4188	269.45402140404	92.2636727536679	8	-0.791592391937779	0.08	99
Amauris niavius	2	179.50267	260.787954949495	72.8105770114237	2	-1.11639391261439	0.02	99
Amblopala avidiena	1	NA	NA	NA	NA	NA	NA	99
Amblypodia narada	2	247.469703	276.420227545455	107.17217065175	54	-0.270130989877284	0.54	99
Amblyscirtes eos	2	271.516883	265.870973686869	82.2212979382156	74	0.0686672365276194	0.74	99
Amblyscirtes simius	1	NA	NA	NA	NA	NA	NA	99
Amnosia decora	1	NA	NA	NA	NA	NA	NA	99
Ampittia dioscorides	1	NA	NA	NA	NA	NA	NA	99
Ampittia virgata	1	NA	NA	NA	NA	NA	NA	99
Anaea troglodyta	2	247.469019	265.287256828283	71.039566795345	34	-0.250821318767535	0.34	99
Anartia jatrophae	6	123.7324185	237.365437473064	34.9887266106189	1	-3.2477037600613	0.01	99
