Tree_label	Lep_family	Lep_accepted_name	PD	Num.families	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p
LEP23887_X_Hedylidae_X_X_Macrosoma_hyacinthina_X_ME	Hedylidae	Macrosoma hyacinthina	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01
LEP20621_X_Hedylidae_X_X_Macrosoma_rubedinaria_X_ME	Hedylidae	Macrosoma rubedinaria	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01
BN000071_LEP49972_Hedylidae_X_X_Macrosoma_tipulata	Hedylidae	Macrosoma tipulata	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01
BN006067_KA18030ABRI_Hesperiidae_Tagiadinae_Tagiadini_Abantis_tettensis	Hesperiidae	Abantis tettensis	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01
BN000078_MY2016HES74_Hesperiidae_Tagiadinae_Tagiadini_Abraximorpha_davidii_davidii	Hesperiidae	Abraximorpha davidii	325.050892	1	189.1223	272.4282205	110.7314868	10	-0.752323687	0.1	189.1223	271.2290871	107.9586884	6	-0.760538946	0.06
BN000079_Rvcoll11K214_Hesperiidae_Hesperiinae_Astictopterini_Acada_biseriata	Hesperiidae	Acada biseriata	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
SRR7174392_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_casica	Hesperiidae	Achalarus casica	448.784822	2	247.46887	291.5955824	139.0631552	38	-0.317314189	0.38	247.46887	282.8689121	111.660847	37	-0.317031825	0.37
GCA0029304951_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_lyciades	Hesperiidae	Achalarus lyciades	448.784822	2	247.46887	291.5955824	139.0631552	38	-0.317314189	0.38	247.46887	282.8689121	111.660847	37	-0.317031825	0.37
SRR7174573_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_toxeus	Hesperiidae	Achalarus toxeus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN000081_LEP41861_Hesperiidae_Pyrginae_Achlyodini_Achlyodes_busirus	Hesperiidae	Achlyodes busirus	325.049924	1	118	267.4639094	81.18555277	1	-1.841016096	0.01	118	271.2168973	89.42806658	1	-1.713297661	0.01
SRR7174366_X_Hesperiidae_Pyrginae_Achlyodini_Eantis_pallida	Hesperiidae	Achlyodes pallida	325.049924	1	118	267.4639094	81.18555277	1	-1.841016096	0.01	118	271.2168973	89.42806658	1	-1.713297661	0.01
ME12C975_X_Hesperiidae_Hesperiinae_Astictopterini_Acleros_ploetzi_X_ME	Hesperiidae	Acleros ploetzi	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04
BN000087_LEP47546_Hesperiidae_Hesperiinae_Hesperiini_Adopaeoides_prittwitzi	Hesperiidae	Adopaeoides prittwitzi	325.050732	1	95.4795	273.4982106	88.99019118	1	-2.000430702	0.01	95.4795	287.0436336	116.8109605	1	-1.639949991	0.01
SRR7174424_X_Hesperiidae_Hesperiinae_Aeromachini_Aeromachus_stigmata	Hesperiidae	Aeromachus stigmata	325.049505	1	87.6679	267.2908832	81.45749425	1	-2.205113045	0.01	87.6679	268.4860796	91.65784682	1	-1.97275177	0.01
BN000092_LEP40123_Hesperiidae_Hesperiinae_Megathymini_Agathymus_aryxna	Hesperiidae	Agathymus aryxna	325.050132	1	135.10077	265.735168	82.55170028	2	-1.582455571	0.02	135.10077	267.2885954	81.77859239	1	-1.616411111	0.01
