Tree_label,Lep_family,Lep_accepted_name,Host_order,Host_family,Count of Lep_accepted_name,Ordinal_Proportion*,Familial_Proportion**
LEP23887_X_Hedylidae_X_X_Macrosoma_hyacinthina_X_ME,Hedylidae,Macrosoma hyacinthina,Malvales,Malvaceae,2,100,100
LEP20621_X_Hedylidae_X_X_Macrosoma_rubedinaria_X_ME,Hedylidae,Macrosoma rubedinaria,Malvales,Malvaceae,2,100,100
BN000071_LEP49972_Hedylidae_X_X_Macrosoma_tipulata,Hedylidae,Macrosoma tipulata,Malvales,Malvaceae,3,100,100
BN006067_KA18030ABRI_Hesperiidae_Tagiadinae_Tagiadini_Abantis_tettensis,Hesperiidae,Abantis tettensis,Malvales,Malvaceae,4,100,100
BN000078_MY2016HES74_Hesperiidae_Tagiadinae_Tagiadini_Abraximorpha_davidii_davidii,Hesperiidae,Abraximorpha davidii,Rosales,Rosaceae,17,100,100
BN000079_Rvcoll11K214_Hesperiidae_Hesperiinae_Astictopterini_Acada_biseriata,Hesperiidae,Acada biseriata,Fabales,Fabaceae,4,100,100
SRR7174392_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_casica,Hesperiidae,Achalarus casica,Asterales,Asteraceae,1,50,50
SRR7174392_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_casica,Hesperiidae,Achalarus casica,Fabales,Fabaceae,1,50,50
GCA0029304951_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_lyciades,Hesperiidae,Achalarus lyciades,Asterales,Asteraceae,2,5.882352941,5.882352941
GCA0029304951_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_lyciades,Hesperiidae,Achalarus lyciades,Fabales,Fabaceae,32,94.11764706,94.11764706
SRR7174573_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_toxeus,Hesperiidae,Achalarus toxeus,Fabales,Fabaceae,4,100,100
BN000081_LEP41861_Hesperiidae_Pyrginae_Achlyodini_Achlyodes_busirus,Hesperiidae,Achlyodes busirus,Sapindales,Rutaceae,4,100,100
SRR7174366_X_Hesperiidae_Pyrginae_Achlyodini_Eantis_pallida,Hesperiidae,Achlyodes pallida,Sapindales,Rutaceae,2,100,100
ME12C975_X_Hesperiidae_Hesperiinae_Astictopterini_Acleros_ploetzi_X_ME,Hesperiidae,Acleros ploetzi,Fabales,Fabaceae,1,100,100
BN000087_LEP47546_Hesperiidae_Hesperiinae_Hesperiini_Adopaeoides_prittwitzi,Hesperiidae,Adopaeoides prittwitzi,Poales,Poaceae,1,100,100
SRR7174424_X_Hesperiidae_Hesperiinae_Aeromachini_Aeromachus_stigmata,Hesperiidae,Aeromachus stigmata,Sapindales,Anacardiaceae,2,100,100
BN000092_LEP40123_Hesperiidae_Hesperiinae_Megathymini_Agathymus_aryxna,Hesperiidae,Agathymus aryxna,Asparagales,Asparagaceae,4,100,100
SRR7174357_X_Hesperiidae_Hesperiinae_Megathymini_Agathymus_mariae,Hesperiidae,Agathymus mariae,Asparagales,Asparagaceae,2,100,100
BN000095_140_Hesperiidae_Eudaminae_Eudamini_Aguna_asander,Hesperiidae,Aguna asander,Ericales,Styracaceae,1,11.11111111,11.11111111
BN000095_140_Hesperiidae_Eudaminae_Eudamini_Aguna_asander,Hesperiidae,Aguna asander,Fabales,Fabaceae,8,88.88888889,88.88888889
SRR7174415_X_Hesperiidae_Eudaminae_Eudamini_Aguna_claxon,Hesperiidae,Aguna claxon,Fabales,Fabaceae,1,100,100
SRR7174413_X_Hesperiidae_Eudaminae_Eudamini_Aguna_metophis,Hesperiidae,Aguna metophis,Fabales,Fabaceae,2,100,100
