Sp_Idmarch,scientific_name,Genus,Species,Flag,valid name,genomic
1,Aargyresthia alternatella,Aargyresthia,alternatella,Not Found,,
2,Abagrotis alternata,Abagrotis,alternata,Not Found,,
3,Abagrotis cupida,Abagrotis,cupida,Not Found,,
4,Abantis arctomarginata,Abantis,arctomarginata,Valid Name,Abantis arctomarginata,
5,Abantis bamptoni,Abantis,bamptoni,Valid Name,Abantis bamptoni,
6,Abantis bicolor,Abantis,bicolor,Valid Name,Abantis bicolor,
7,Abantis bismarcki,Abantis,bismarcki,Valid Name,Abantis bismarcki,
8,Abantis elegantula,Abantis,elegantula,Valid Name,Abantis elegantula,
9,Abantis ja,Abantis,ja,Valid Name,Abantis ja,
10,Abantis leucogaster,Abantis,leucogaster,Valid Name,Abantis leucogaster,
11,Abantis lucretia,Abantis,lucretia,Valid Name,Abantis lucretia,
12,Abantis meru,Abantis,meru,Valid Name,Abantis meru,
13,Abantis nigeriana,Abantis,nigeriana,Valid Name,Abantis nigeriana,
14,Abantis paradisea,Abantis,paradisea,Valid Name,Abantis paradisea,
15,Abantis pseudonigeriana,Abantis,pseudonigeriana,Valid Name,Abantis pseudonigeriana,
16,Abantis rubra,Abantis,rubra,Valid Name,Abantis rubra,
17,Abantis tettensis,Abantis,tettensis,Valid Name,Abantis tettensis,
18,Abantis venosa,Abantis,venosa,Valid Name,Abantis venosa,
19,Abantis zambesiaca,Abantis,zambesiaca,Valid Name,Abantis zambesiaca,
20,Abantis zanibesiaca,Abantis,zanibesiaca,Not Found,,
21,Abisara abnormis,Abisara,abnormis,Valid Name,Abisara abnormis,
22,Abisara bifasciata,Abisara,bifasciata,Valid Name,Abisara bifasciata,
23,Abisara burnii,Abisara,burnii,Valid Name,Abisara burnii,"COI_trnL_COII, EF-1a, Wgl"
24,Abisara echerius,Abisara,echerius,Valid Name,Abisara echerius,"COI_trnL_COII, EF-1a, Wgl"
25,Abisara freda,Abisara,freda,Valid Name,Abisara freda,"COI_trnL_COII, EF-1a, Wgl"
26,Abisara fylla,Abisara,fylla,Valid Name,Abisara fylla,"COI_trnL_COII, EF-1a, Wgl"
27,Abisara geza,Abisara,geza,Valid Name,Abisara geza,"CAD, COI_trnL_COII, EF-1a, Wgl"
28,Abisara kausambi,Abisara,kausambi,Valid Name,Abisara kausambi,"CAD, COI_trnL_COII, EF-1a, Wgl"
29,Abisara mindanaensis,Abisara,mindanaensis,Valid Name,Abisara mindanaensis,
30,Abisara neophron,Abisara,neophron,Not Found,,
31,Abisara neophtron,Abisara,neophtron,Not Found,,
