Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged
1,B_14352,Nymphalidae,Satyrinae,Satyrini,Euptychia,mollina,Euptychia mollina
2,B_15867,Nymphalidae,Satyrinae,Satyrini,Taygetis,virgilia,Taygetis virgilia
3,B_14117,Nymphalidae,Satyrinae,Satyrini,Corades,medeba,Corades medeba
4,B_14959,Nymphalidae,Satyrinae,Satyrini,Manerebia,cyclopina,Manerebia cyclopina
5,B_13970,Nymphalidae,Satyrinae,Satyrini,Calisto,obscura,Calisto obscura
6,B_15919,Nymphalidae,Satyrinae,Satyrini,Ypthima,baldus,Ypthima baldus
7,B_14235,Nymphalidae,Satyrinae,Satyrini,Erebia,ligea,Erebia ligea
8,B_14994,Nymphalidae,Satyrinae,Satyrini,Maniola,jurtina,Maniola jurtina
9,B_15011,Nymphalidae,Satyrinae,Satyrini,Melanargia,galathea,Melanargia galathea
10,B_15729,Nymphalidae,Satyrinae,Satyrini,Satyrus,ferula,Satyrus ferula
11,B_15265,Nymphalidae,Satyrinae,Satyrini,Oressinoma,typhla,Oressinoma typhla
12,B_14096,Nymphalidae,Satyrinae,Satyrini,Coenonympha,tullia,Coenonympha tullia
13,B_14759,Nymphalidae,Satyrinae,Satyrini,Lethe,mekara,Lethe mekara
14,B_15331,Nymphalidae,Satyrinae,Satyrini,Pararge,aegeria,Pararge aegeria
15,B_13840,Nymphalidae,Satyrinae,Satyrini,Bicyclus,denina,Bicyclus denina
16,B_15267,Nymphalidae,Satyrinae,Satyrini,Orsotriaena,medus,Orsotriaena medus
17,B_15702,Nymphalidae,Satyrinae,Satyrini,Ragadia,makuta,Ragadia makuta
18,B_13596,Nymphalidae,Satyrinae,Dirini,Aeropetes,tulbaghia,Aeropetes tulbaghia
19,B_13726,Nymphalidae,Satyrinae,Melanitini,Melanitis,leda,Melanitis leda
20,B_19431,Nymphalidae,Satyrinae,Amathusiini,Morphopsis,albertisi,Morphopsis albertisi
21,B_13646,Nymphalidae,Satyrinae,Elymniini,Elymnias,hypermnestra,Elymnias hypermnestra
22,B_12927,Nymphalidae,Satyrinae,Amathusiini,Zeuxidia,doubledaii,Zeuxidia doubledaii
23,B_13696,Nymphalidae,Satyrinae,Haeterini,Haetera,piera,Haetera piera
24,B_13057,Nymphalidae,Satyrinae,Morphini,Morpho,helenor,Morpho helenor
25,B_12945,Nymphalidae,Satyrinae,Brassolini,Brassolis,sophorae,Brassolis sophorae
26,B_10464,Nymphalidae,Charaxinae,Prothoini,Prothoe,franckii,Prothoe franckii
27,B_10231,Nymphalidae,Charaxinae,Charaxini,Charaxes,brutus,Charaxes brutus
28,B_10434,Nymphalidae,Charaxinae,Pallaini,Palla,ussheri,Palla ussheri
29,B_10452,Nymphalidae,Charaxinae,Preponini,Prepona,dexamenus,Prepona dexamenus
30,,Nymphalidae,Charaxinae,Anaeomorphini,Anaeomorpha,splendida,Anaeomorpha splendida
31,B_10097,Nymphalidae,Charaxinae,Anaeini,Consul,electra,Consul electra
32,B_10081,Nymphalidae,Calinaginae,0,Calinaga,buddha,Calinaga buddha
