Unique.ID,Sp_Idmarch
15868,12194
15869,13207
15870,1868
15871,12225
15872,6114
15873,15382
15874,10754
15875,12175
15876,7324
15877,9006
15878,6483
15879,11463
15880,11463
15881,11463
15882,3132
15883,3134
15884,3135
15885,6294
15886,1241
15887,1271
15888,3291
15889,11504
15890,11603
15891,7072
15892,10151
15893,10165
15894,10160
15895,10185
15896,10191
15897,10194
15898,10199
15899,10203
15900,11575
15901,2054
15902,10751
15903,13845
15904,11602
15905,11469
15906,11546
15907,2056
15908,2187
15910,4713
15911,2453
15912,6725
15913,793
15914,2718
15915,2729
15916,12520
15917,2729
15918,2727
15919,802
15920,13586
15921,8862
15922,13559
15923,13556
15924,13570
15925,13553
15926,12515
15927,12516
15928,12521
15929,6809
15930,6809
15931,13573
15932,813
15933,13956
15934,11320
15935,12499
15936,15458
15937,15460
15938,12701
15939,1813
15940,7439
15941,794
15942,795
15943,8859
15944,7456
15946,6128
15947,808
15948,5612
15949,10964
15950,6120
15952,8843
15953,7392
15954,6725
15955,3228
15956,3230
15957,6950
15958,3232
15960,11855
15961,1868
15963,11808
15964,11808
15965,4019
15966,4019
15967,5144
15968,5144
15971,2396
15972,2396
15974,2404
15975,11925
15977,11519
15978,11560
15979,11560
15980,11542
15981,11453
15982,11453
15983,11453
15984,11395
15985,11560
15986,11560
15987,11437
15989,6284
15990,4171
15994,3129
15995,6277
15996,6290
15997,12932
15998,7045
15999,7083
16000,6290
16001,7052
16002,7068
16003,2184
16004,7082
16005,2174
16006,4176
16010,4176
16011,6277
16012,5378
16013,6290
16014,2396
16015,2396
16016,5144
16019,7038
16020,11372
16021,11382
16023,5378
16025,14020
16026,14022
16027,14023
16028,8503
16029,14021
16030,8504
16033,10996
16034,14540
16036,367
16037,792
16038,15023
16039,15022
16040,5616
16041,15027
16042,4403
16043,5611
16044,5607
16045,7446
16046,12493
16048,5608
16049,12498
16050,1920
16051,1920
16052,10404
16053,51
16054,10403
16055,15344
16056,7453
16057,11319
16058,9405
16059,5613
16060,5629
16061,1943
16062,15357
16063,8994
16064,9407
16065,2805
16066,13589
16067,5356
16068,8414
16069,9396
16070,5318
16071,1759
16072,3320
16073,5320
16074,1760
16075,9401
16076,5319
16077,10758
16078,11432
16080,594
16081,595
16082,14726
16083,14736
16084,14730
16085,11088
16086,9860
16087,15135
16088,15138
16089,9101
16090,6752
16091,6763
16092,9785
16093,8238
16094,8253
16095,5400
16096,5401
16097,5402
16098,5404
16099,13813
16100,8529
16101,8536
16102,11430
16103,11437
