Tree_label	Lep_family	Lep_accepted_name	PD	Num.families	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	PD.atLeast1source	Num.families.atLeast1source	mpd.obs.atLeast1source	mpd.rand.mean.atLeast1source	mpd.rand.sd.atLeast1source	mpd.obs.rank.atLeast1source	mpd.obs.z.atLeast1source	mpd.obs.p.atLeast1source	mntd.obs.atLeast1source	mntd.rand.mean.atLeast1source	mntd.rand.sd.atLeast1source	mntd.obs.rank.atLeast1source	mntd.obs.z.atLeast1source	mntd.obs.p.atLeast1source																		
LEP23887_X_Hedylidae_X_X_Macrosoma_hyacinthina_X_ME	Hedylidae	Macrosoma hyacinthina	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01	325.050645	1	76.7222	285.5276107	110.2060807	1	-1.894681395	0.01	76.7222	271.9333311	101.9759357	2.5	-1.914286246	0.025																		
LEP20621_X_Hedylidae_X_X_Macrosoma_rubedinaria_X_ME	Hedylidae	Macrosoma rubedinaria	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01	325.050645	1	76.7222	285.5276107	110.2060807	1	-1.894681395	0.01	76.7222	271.9333311	101.9759357	2.5	-1.914286246	0.025																		
BN000071_LEP49972_Hedylidae_X_X_Macrosoma_tipulata	Hedylidae	Macrosoma tipulata	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01	325.050645	1	76.7222	285.5276107	110.2060807	1	-1.894681395	0.01	76.7222	271.9333311	101.9759357	2.5	-1.914286246	0.025																		
BN006067_KA18030ABRI_Hesperiidae_Tagiadinae_Tagiadini_Abantis_tettensis	Hesperiidae	Abantis tettensis	325.050645	1	76.7222	256.3313435	75.02029654	1	-2.394140677	0.01	76.7222	272.2775878	108.5781618	1	-1.80105635	0.01	325.050645	1	76.7222	285.5276107	110.2060807	1	-1.894681395	0.01	76.7222	271.9333311	101.9759357	2.5	-1.914286246	0.025																		
BN000078_MY2016HES74_Hesperiidae_Tagiadinae_Tagiadini_Abraximorpha_davidii_davidii	Hesperiidae	Abraximorpha davidii	325.050892	1	189.1223	272.4282205	110.7314868	10	-0.752323687	0.1	189.1223	271.2290871	107.9586884	6	-0.760538946	0.06	325.050892	1	189.1223	267.8297577	81.40968846	1	-0.966807012	0.01	189.1223	293.2725397	128.5618594	5	-0.810117714	0.05																		
BN000079_Rvcoll11K214_Hesperiidae_Hesperiinae_Astictopterini_Acada_biseriata	Hesperiidae	Acada biseriata	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04	325.050502	1	192	277.5629072	106.4667294	4	-0.803658642	0.04	192	271.079971	90.55617358	5	-0.873269793	0.05																		
SRR7174392_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_casica	Hesperiidae	Achalarus casica	448.784822	2	247.46887	291.5955824	139.0631552	38	-0.317314189	0.38	247.46887	282.8689121	111.660847	37	-0.317031825	0.37	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																		
GCA0029304951_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_lyciades	Hesperiidae	Achalarus lyciades	448.784822	2	247.46887	291.5955824	139.0631552	38	-0.317314189	0.38	247.46887	282.8689121	111.660847	37	-0.317031825	0.37	448.784822	2	247.46887	267.9319358	94.06694737	37	-0.217537258	0.37	247.46887	267.4344069	81.92090092	31	-0.243717253	0.31																		
SRR7174573_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_toxeus	Hesperiidae	Achalarus toxeus	325.050502	1	192	296.7456914	135.4353202	4	-0.773400109	0.04	192	271.8150568	90.00952964	4	-0.886740072	0.04	325.050502	1	192	277.5629072	106.4667294	4	-0.803658642	0.04	192	271.079971	90.55617358	5	-0.873269793	0.05																		
BN000081_LEP41861_Hesperiidae_Pyrginae_Achlyodini_Achlyodes_busirus	Hesperiidae	Achlyodes busirus	325.049924	1	118	267.4639094	81.18555277	1	-1.841016096	0.01	118	271.2168973	89.42806658	1	-1.713297661	0.01	325.049924	1	118	266.9930824	82.27109552	1	-1.811001561	0.01	118	295.7632874	130.9161391	1	-1.357840894	0.01																		
