PD	SR
Abaeis nicippe	325.050502	1
Abananote abana	0	0
Abantis tettensis	325.050645	1
Abisara bifasciata	325.050484	1
Abisara burnii	325.050484	1
Abisara geza	0	0
Abisara kausambi	0	0
Abraximorpha davidii	325.050892	1
Abrota ganga	0	0
Acada biseriata	325.050502	1
Achalarus casica	0	0
Achalarus lyciades	325.050502	1
Achalarus toxeus	325.050502	1
Achlyodes busirus	325.049924	1
Achlyodes pallida	0	0
Acleros ploetzi	0	0
Acraea horta	419.412698	2
Acrodipsas myrmecophila	0	0
Acrophtalmia artemis	0	0
Acrophtalmia leuce	0	0
Acytolepis puspa	1531.667015	12
Adelpha mesentina	0	0
Adopaeoides prittwitzi	0	0
Aemona amathusia	0	0
Aeria eurimedia	325.050552	1
Aeromachus stigmata	0	0
Aeropetes tulbaghia	325.050732	1
Aethiopana honorius	0	0
Afarsia morgiana	0	0
Afrodryas leda	391.686565	2
Agatasa calydonia	0	0
Agathymus aryxna	325.050132	1
Agathymus mariae	0	0
Aglais io	398.519362	2
Aglais urticae	398.519362	2
Agraulis vanillae	325.050658	1
Agriades optilete	325.050542	1
Aguna asander	325.050502	1
Aguna claxon	0	0
Aguna metophis	0	0
Ahmetia achaja	0	0
Aides duma	0	0
Alaena amazoula	0	0
Alenia namaqua	0	0
Allora major	0	0
Allotinus fallax	0	0
Allotinus unicolor	0	0
Aloeides pierus	325.050502	1
Alpherakya sarta	0	0
Altinote neleus	0	0
Altinote tenebrosa	0	0
Altopedaliodes tena	0	0
Amathusia phidippus	423.259982	2
Amauris niavius	325.050552	1
Amblopala avidiena	325.050502	1
Amblypodia narada	0	0
Amblyscirtes eos	0	0
Amblyscirtes simius	325.050732	1
Amnosia decora	0	0
Ampittia dioscorides	325.050732	1
Ampittia virgata	0	0
Anaea troglodyta	325.050651	1
Anartia jatrophae	649.084821	6
Anastrus sempiternus	325.050685	1
Anatrytone logan	325.050732	1
Ancema ctesia	325.05083	1
Ancistroides gemmifer	325.050972	1
Ancyloxypha numitor	325.050732	1
Andronymus neander	325.050502	1
Anetia briarea	0	0
Anetia thirza	0	0
Anisynta cynone	325.050732	1
Anisynta dominula	325.050732	1
Anisynta tillyardi	325.050732	1
Ankola fan	0	0
Antanartia delius	325.050262	1
Anteos maerula	325.050502	1
Anteros formosus	417.314485	2
Anthanassa texana	325.049922	1
Anthene larydas	440.836557	2
Anthocharis belia	325.050395	1
Anthocharis cardamines	325.050395	1
Anthoptus epictetus	0	0
Antigius attilia	325.050512	1
Antillea pelops	0	0
Antipodia atralba	325.050752	1
Antipodia chaostola	325.050752	1
Antirrhea philaretes	325.050282	1
Apallaga opalinus	0	0
Apatura metis	325.050658	1
Apaturina erminia	325.050872	1
Apaturopsis cleochares	0	0
Aphantopus hyperantus	418.872232	2
Aphnaeus orcas	683.150743	4
Aphrissa boisduvalii	0	0
Aphrissa statira	325.050502	1
Aphysoneura pigmentaria	325.050732	1
Apodemia chisosensis	325.050892	1
Apodemia duryi	0	0
Apodemia hepburni	0	0
Apodemia mormo	325.050152	1
Apodemia murphyi	0	0
Apodemia palmerii	325.050502	1
Aponarope sutor	0	0
Aporia agathon	325.050692	1
Aporia crataegi	325.050892	1
Apostictopterus fuliginosus	0	0
Appias lasti	542.77174	3
Appias libythea	407.552165	3
Appias paulina	443.629524	2
Apyrrothrix araxes	0	0
Araotes lapithis	0	0
Araragi enthea	422.930042	2
Araschnia levana	325.050262	1
Arawacus aetolus	0	0
Arcas imperialis	0	0
Archaeoprepona demophon	452.752303	2
Archaeoprepona meander	325.050763	1
Archon apollinus	325.05077	1
Archonias brassolis	0	0
Arethusana arethusa	325.050732	1
Argon lota	0	0
Argynnina cyrila	325.050732	1
Argynnis aglaja	448.784878	2
Argynnis anadyomene	325.050678	1
Argynnis hyperbius	325.050678	1
Argynnis laodice	325.050678	1
Argynnis nerippe	325.050678	1
Argynnis paphia	440.836938	2
Argynnis sagana	325.050678	1
Argyraspodes argyraspis	0	0
Argyrophorus argenteus	0	0
Arhopala bazalus	325.050512	1
Arhopala muta	0	0
Arhopala thamyras	0	0
Ariadne ariadne	325.050651	1
Aricia agestis	442.044085	2
Arita arita	0	0
Aroma aroma	0	0
Arotis derasa	0	0
