Tree_label	Lep_family	Lep_accepted_name	PD	Num.families	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	PD.3sources	Num.families.3sources	mpd.obs.3sources	mpd.rand.mean.3sources	mpd.rand.sd.3sources	mpd.obs.rank.3sources	mpd.obs.z.3sources	mpd.obs.p.3sources	mntd.obs.3sources	mntd.rand.mean.3sources	mntd.rand.sd.3sources	mntd.obs.rank.3sources	mntd.obs.z.3sources	mntd.obs.p.3sources
LEP23887_X_Hedylidae_X_X_Macrosoma_hyacinthina_X_ME	Hedylidae	Macrosoma hyacinthina	325.050645	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEP20621_X_Hedylidae_X_X_Macrosoma_rubedinaria_X_ME	Hedylidae	Macrosoma rubedinaria	325.050645	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000071_LEP49972_Hedylidae_X_X_Macrosoma_tipulata	Hedylidae	Macrosoma tipulata	325.050645	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN006067_KA18030ABRI_Hesperiidae_Tagiadinae_Tagiadini_Abantis_tettensis	Hesperiidae	Abantis tettensis	325.050645	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050645	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000078_MY2016HES74_Hesperiidae_Tagiadinae_Tagiadini_Abraximorpha_davidii_davidii	Hesperiidae	Abraximorpha davidii	325.050892	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050892	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000079_Rvcoll11K214_Hesperiidae_Hesperiinae_Astictopterini_Acada_biseriata	Hesperiidae	Acada biseriata	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174392_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_casica	Hesperiidae	Achalarus casica	448.784822	2	247.46887	264.9686102	92.90517123	47	-0.188361315	0.47	247.46887	259.8635276	73.60211706	43	-0.168400829	0.43	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA0029304951_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_lyciades	Hesperiidae	Achalarus lyciades	448.784822	2	247.46887	264.9686102	92.90517123	47	-0.188361315	0.47	247.46887	259.8635276	73.60211706	43	-0.168400829	0.43	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174573_X_Hesperiidae_Eudaminae_Eudamini_Cecropterus_toxeus	Hesperiidae	Achalarus toxeus	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000081_LEP41861_Hesperiidae_Pyrginae_Achlyodini_Achlyodes_busirus	Hesperiidae	Achlyodes busirus	325.049924	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.049924	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174366_X_Hesperiidae_Pyrginae_Achlyodini_Eantis_pallida	Hesperiidae	Achlyodes pallida	325.049924	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME12C975_X_Hesperiidae_Hesperiinae_Astictopterini_Acleros_ploetzi_X_ME	Hesperiidae	Acleros ploetzi	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000087_LEP47546_Hesperiidae_Hesperiinae_Hesperiini_Adopaeoides_prittwitzi	Hesperiidae	Adopaeoides prittwitzi	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174424_X_Hesperiidae_Hesperiinae_Aeromachini_Aeromachus_stigmata	Hesperiidae	Aeromachus stigmata	325.049505	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000092_LEP40123_Hesperiidae_Hesperiinae_Megathymini_Agathymus_aryxna	Hesperiidae	Agathymus aryxna	325.050132	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050132	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
