"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Abaeis nicippe"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Abananote abana"	2	90.5191	280.34093749495	104.12746855498	1	-1.82297562909371	0.01	99
"Abantis tettensis"	2	76.7222	272.277587767677	108.578161807021	1	-1.80105634975883	0.01	99
"Abisara bifasciata"	2	188	270.075955484849	98.7235071767	6	-0.831371958230223	0.06	99
"Abisara burnii"	2	188	270.075955484849	98.7235071767	6	-0.831371958230223	0.06	99
"Abisara geza"	2	188	270.075955484849	98.7235071767	6	-0.831371958230223	0.06	99
"Abisara kausambi"	2	188	270.075955484849	98.7235071767	6	-0.831371958230223	0.06	99
"Abraximorpha davidii"	2	189.1223	271.22908710101	107.958688439456	6	-0.760538945849236	0.06	99
"Abrota ganga"	2	244.81141	261.78719230303	73.331185413604	23	-0.2314947209333	0.23	99
"Acada biseriata"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Achalarus casica"	2	247.46887	282.86891210101	111.660847045219	37	-0.317031824831797	0.37	99
"Achalarus lyciades"	2	247.46887	282.86891210101	111.660847045219	37	-0.317031824831797	0.37	99
"Achalarus toxeus"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Achlyodes busirus"	2	118	271.216897333333	89.428066582061	1	-1.71329766134146	0.01	99
"Achlyodes pallida"	2	118	271.216897333333	89.428066582061	1	-1.71329766134146	0.01	99
"Acleros ploetzi"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Acraea horta"	2	188.72416	259.472814525253	60.0111598227076	3	-1.17892496552753	0.03	99
"Acrodipsas myrmecophila"	0	NA	NA	NA	NA	NA	NA	99
"Acrophtalmia artemis"	0	NA	NA	NA	NA	NA	NA	99
"Acrophtalmia leuce"	0	NA	NA	NA	NA	NA	NA	99
"Acytolepis puspa"	13	207.867224307692	219.267089881896	21.7775750248258	37	-0.523468088674155	0.37	99
"Adelpha mesentina"	2	93.3981	283.159976737374	107.307235141099	1	-1.76839778313041	0.01	99
"Adopaeoides prittwitzi"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Aemona amathusia"	2	19.29834	274.863795010101	98.1037766978264	1	-2.60505215611912	0.01	99
"Aeria eurimedia"	2	61.789	277.138746444444	106.373130724825	1	-2.02447502463314	0.01	99
"Aeromachus stigmata"	2	87.6679	268.486079575758	91.6578468168564	1	-1.97275177036456	0.01	99
"Aeropetes tulbaghia"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Aethiopana honorius"	0	NA	NA	NA	NA	NA	NA	99
"Afarsia morgiana"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Afrodryas leda"	2	208.517028	272.68399859596	98.5959805905594	6	-0.650807164872436	0.06	99
"Agatasa calydonia"	2	142.4068	259.800435919192	73.6254897589177	2	-1.59447001715833	0.02	99
"Agathymus aryxna"	2	135.10077	267.288595363636	81.7785923875625	1	-1.61641111083419	0.01	99
"Agathymus mariae"	2	135.10077	267.288595363636	81.7785923875625	1	-1.61641111083419	0.01	99
"Aglais io"	4	162.535315	247.256246335859	38.7086162328769	2	-2.18868406005951	0.02	99
"Aglais urticae"	3	163.933323333333	257.813957787879	46.6107741725121	1	-2.01414020945205	0.01	99
"Agraulis vanillae"	2	116.5963	254.394204636364	64.645035957992	3	-2.13160844594329	0.03	99
"Agriades optilete"	2	118.202	271.595554525253	89.8658213484251	1	-1.70691762700882	0.01	99
"Aguna asander"	2	247.46924	267.11270149495	88.4740588596438	48	-0.222025096939569	0.48	99
"Aguna claxon"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Aguna metophis"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Ahmetia achaja"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Aides duma"	2	99.1432	282.792666393939	112.934468295496	2	-1.62615956993232	0.02	99
"Alaena amazoula"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Alenia namaqua"	2	69.4758	254.682101676768	45.778500090804	1	-4.04570489005541	0.01	99
"Allora major"	2	102.661	261.701222707071	107.894074463907	4	-1.47404038171043	0.04	99
"Allotinus fallax"	0	NA	NA	NA	NA	NA	NA	99
"Allotinus unicolor"	0	NA	NA	NA	NA	NA	NA	99
"Aloeides pierus"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Alpherakya sarta"	2	244.81116	268.260695616162	92.344462501616	35	-0.253935482225058	0.35	99
"Altinote neleus"	2	90.5191	280.34093749495	104.12746855498	1	-1.82297562909371	0.01	99
"Altinote tenebrosa"	2	90.5191	280.34093749495	104.12746855498	1	-1.82297562909371	0.01	99
"Altopedaliodes tena"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Amathusia phidippus"	2	196.4188	283.70527389899	120.584544408247	8	-0.723861207315889	0.08	99
"Amauris niavius"	2	179.50281	283.489554626263	110.625420275656	1	-0.939989600646481	0.01	99
"Amblopala avidiena"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Amblypodia narada"	2	247.469563	256.686631636364	60.6607309006171	55	-0.151944569402969	0.55	99
"Amblyscirtes eos"	2	271.516773	291.56005110101	129.967290370424	71	-0.154217865463564	0.71	99
"Amblyscirtes simius"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Amnosia decora"	2	93.3981	283.159976737374	107.307235141099	1	-1.76839778313041	0.01	99
"Ampittia dioscorides"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Ampittia virgata"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Anaea troglodyta"	2	247.468919	289.337015949495	116.239587953146	35	-0.360187933274256	0.35	99
"Anartia jatrophae"	6	129.927333166667	238.708711191919	34.9474335552803	1	-3.11271435292039	0.01	99
"Anastrus sempiternus"	2	193.27858	257.686367767677	62.5462070601647	6	-1.02976328693635	0.06	99
"Anatrytone logan"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Ancema ctesia"	2	159.8647	264.092912727273	85.4960109702146	4	-1.21910030122439	0.04	99
"Ancistroides gemmifer"	2	51.8437	288.837142959596	116.357477433969	1	-2.0367702032221	0.01	99
"Ancyloxypha numitor"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Andronymus neander"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Anetia briarea"	2	224.681623	275.39235879798	107.481416517228	8	-0.47180933635957	0.08	99
"Anetia thirza"	2	61.789	277.138746444444	106.373130724825	1	-2.02447502463314	0.01	99
"Anisynta cynone"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Anisynta dominula"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Anisynta tillyardi"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Ankola fan"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Antanartia delius"	2	93.3981	283.159976737374	107.307235141099	1	-1.76839778313041	0.01	99
"Anteos maerula"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Anteros formosus"	2	184.52865	278.518915989899	104.526927355214	2	-0.899196679440237	0.02	99
"Anthanassa texana"	2	208.31719	276.18128930303	97.2930126619574	3	-0.697522848211338	0.03	99
"Anthene larydas"	2	231.571975	273.729158161616	89.746444719069	9	-0.469736525982502	0.09	99
"Anthocharis belia"	2	67.0275	269.081791636364	90.101803748385	1	-2.24251106227144	0.01	99
"Anthocharis cardamines"	2	118.9514	280.436396757576	112.692400801406	2	-1.43297148351782	0.02	99
"Anthoptus epictetus"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Antigius attilia"	2	80.4628	255.835765373737	60.3672058654657	1	-2.90510324040131	0.01	99
