ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs
Abaeis nicippe	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Abananote abana	1	NA	NA	NA	NA	NA	NA	99
Abantis tettensis	2	76.7222	271.933331090909	101.975935652234	2.5	-1.91428624647909	0.025	99
Abisara bifasciata	2	188	263.555562969697	84.2875770599243	6	-0.896402122414561	0.06	99
Abisara burnii	2	188	263.555562969697	84.2875770599243	6	-0.896402122414561	0.06	99
Abisara geza	2	188	263.555562969697	84.2875770599243	6	-0.896402122414561	0.06	99
Abisara kausambi	2	188	263.555562969697	84.2875770599243	6	-0.896402122414561	0.06	99
Abraximorpha davidii	2	189.1223	293.272539666667	128.561859392479	5	-0.810117714218123	0.05	99
Abrota ganga	2	244.81141	254.491805161616	47.1146789350144	26	-0.205464525715402	0.26	99
Acada biseriata	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Achalarus casica	0	NA	NA	NA	NA	NA	NA	99
Achalarus lyciades	2	247.46887	267.434406949495	81.9209009189855	31	-0.243717253173761	0.31	99
Achalarus toxeus	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Achlyodes busirus	2	118	295.763287393939	130.916139109614	1	-1.35784089420099	0.01	99
Achlyodes pallida	2	118	295.763287393939	130.916139109614	1	-1.35784089420099	0.01	99
Acleros ploetzi	1	NA	NA	NA	NA	NA	NA	99
Acraea horta	2	188.72416	255.318307646465	44.2576244318735	2	-1.50469322520856	0.02	99
Acrodipsas myrmecophila	0	NA	NA	NA	NA	NA	NA	99
Acrophtalmia artemis	0	NA	NA	NA	NA	NA	NA	99
Acrophtalmia leuce	0	NA	NA	NA	NA	NA	NA	99
Acytolepis puspa	13	207.867224307692	216.299019113442	22.9923914914728	38	-0.366721087229091	0.38	99
Adelpha mesentina	2	93.3981	276.822328515152	105.990009648165	1	-1.73058035492242	0.01	99
Adopaeoides prittwitzi	1	NA	NA	NA	NA	NA	NA	99
Aemona amathusia	1	NA	NA	NA	NA	NA	NA	99
Aeria eurimedia	1	NA	NA	NA	NA	NA	NA	99
Aeromachus stigmata	2	87.6679	260.526577131313	68.034160093252	1	-2.54076300632479	0.01	99
Aeropetes tulbaghia	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Aethiopana honorius	0	NA	NA	NA	NA	NA	NA	99
