ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs
Abaeis nicippe	1	NA	NA	NA	NA	NA	NA	99
Abananote abana	0	NA	NA	NA	NA	NA	NA	99
Abantis tettensis	1	NA	NA	NA	NA	NA	NA	99
Abisara bifasciata	1	NA	NA	NA	NA	NA	NA	99
Abisara burnii	1	NA	NA	NA	NA	NA	NA	99
Abisara geza	0	NA	NA	NA	NA	NA	NA	99
Abisara kausambi	0	NA	NA	NA	NA	NA	NA	99
Abraximorpha davidii	1	NA	NA	NA	NA	NA	NA	99
Abrota ganga	0	NA	NA	NA	NA	NA	NA	99
Acada biseriata	1	NA	NA	NA	NA	NA	NA	99
Achalarus casica	0	NA	NA	NA	NA	NA	NA	99
Achalarus lyciades	1	NA	NA	NA	NA	NA	NA	99
Achalarus toxeus	1	NA	NA	NA	NA	NA	NA	99
Achlyodes busirus	1	NA	NA	NA	NA	NA	NA	99
Achlyodes pallida	0	NA	NA	NA	NA	NA	NA	99
Acleros ploetzi	0	NA	NA	NA	NA	NA	NA	99
Acraea horta	2	188.72406	265.387068727273	83.4634376665455	4	-0.918522060324882	0.04	99
Acrodipsas myrmecophila	0	NA	NA	NA	NA	NA	NA	99
Acrophtalmia artemis	0	NA	NA	NA	NA	NA	NA	99
Acrophtalmia leuce	0	NA	NA	NA	NA	NA	NA	99
Acytolepis puspa	12	209.488124666667	223.152240105219	21.4225059101168	23	-0.637839265671497	0.23	99
Adelpha mesentina	0	NA	NA	NA	NA	NA	NA	99
Adopaeoides prittwitzi	0	NA	NA	NA	NA	NA	NA	99
Aemona amathusia	0	NA	NA	NA	NA	NA	NA	99
Aeria eurimedia	1	NA	NA	NA	NA	NA	NA	99
Aeromachus stigmata	0	NA	NA	NA	NA	NA	NA	99
Aeropetes tulbaghia	1	NA	NA	NA	NA	NA	NA	99
Aethiopana honorius	0	NA	NA	NA	NA	NA	NA	99
Afarsia morgiana	0	NA	NA	NA	NA	NA	NA	99
Afrodryas leda	2	133.2723	280.017656838384	104.770203878712	1	-1.40064017636412	0.01	99
Agatasa calydonia	0	NA	NA	NA	NA	NA	NA	99
Agathymus aryxna	1	NA	NA	NA	NA	NA	NA	99
Agathymus mariae	0	NA	NA	NA	NA	NA	NA	99
Aglais io	2	146.93759	281.810247030303	111.840552507667	1	-1.20593697014379	0.01	99
Aglais urticae	2	146.93759	281.810247030303	111.840552507667	1	-1.20593697014379	0.01	99
Agraulis vanillae	1	NA	NA	NA	NA	NA	NA	99
Agriades optilete	1	NA	NA	NA	NA	NA	NA	99
Aguna asander	1	NA	NA	NA	NA	NA	NA	99
Aguna claxon	0	NA	NA	NA	NA	NA	NA	99
Aguna metophis	0	NA	NA	NA	NA	NA	NA	99
Ahmetia achaja	0	NA	NA	NA	NA	NA	NA	99
Aides duma	0	NA	NA	NA	NA	NA	NA	99
Alaena amazoula	0	NA	NA	NA	NA	NA	NA	99
Alenia namaqua	0	NA	NA	NA	NA	NA	NA	99
Allora major	0	NA	NA	NA	NA	NA	NA	99
Allotinus fallax	0	NA	NA	NA	NA	NA	NA	99
Allotinus unicolor	0	NA	NA	NA	NA	NA	NA	99
Aloeides pierus	1	NA	NA	NA	NA	NA	NA	99
Alpherakya sarta	0	NA	NA	NA	NA	NA	NA	99
Altinote neleus	0	NA	NA	NA	NA	NA	NA	99
Altinote tenebrosa	0	NA	NA	NA	NA	NA	NA	99
Altopedaliodes tena	0	NA	NA	NA	NA	NA	NA	99
Amathusia phidippus	2	196.4188	267.032792161616	71.8410972287012	3	-0.982919176983355	0.03	99
Amauris niavius	1	NA	NA	NA	NA	NA	NA	99
Amblopala avidiena	1	NA	NA	NA	NA	NA	NA	99
Amblypodia narada	0	NA	NA	NA	NA	NA	NA	99
Amblyscirtes eos	0	NA	NA	NA	NA	NA	NA	99
Amblyscirtes simius	1	NA	NA	NA	NA	NA	NA	99
Amnosia decora	0	NA	NA	NA	NA	NA	NA	99
Ampittia dioscorides	1	NA	NA	NA	NA	NA	NA	99
Ampittia virgata	0	NA	NA	NA	NA	NA	NA	99
Anaea troglodyta	1	NA	NA	NA	NA	NA	NA	99
Anartia jatrophae	6	123.7324185	241.593022250842	29.7949953204781	1	-3.95571814941136	0.01	99
Anastrus sempiternus	1	NA	NA	NA	NA	NA	NA	99
Anatrytone logan	1	NA	NA	NA	NA	NA	NA	99
Ancema ctesia	1	NA	NA	NA	NA	NA	NA	99
Ancistroides gemmifer	1	NA	NA	NA	NA	NA	NA	99
Ancyloxypha numitor	1	NA	NA	NA	NA	NA	NA	99
Andronymus neander	1	NA	NA	NA	NA	NA	NA	99
Anetia briarea	0	NA	NA	NA	NA	NA	NA	99
Anetia thirza	0	NA	NA	NA	NA	NA	NA	99
Anisynta cynone	1	NA	NA	NA	NA	NA	NA	99
Anisynta dominula	1	NA	NA	NA	NA	NA	NA	99
Anisynta tillyardi	1	NA	NA	NA	NA	NA	NA	99
Ankola fan	0	NA	NA	NA	NA	NA	NA	99
Antanartia delius	1	NA	NA	NA	NA	NA	NA	99
Anteos maerula	1	NA	NA	NA	NA	NA	NA	99
Anteros formosus	2	184.52815	264.566213212121	83.8378477103965	5	-0.954676979406712	0.05	99
Anthanassa texana	1	NA	NA	NA	NA	NA	NA	99
Anthene larydas	2	231.571925	261.42828520202	72.4547001282684	12.5	-0.412069336415232	0.125	99
Anthocharis belia	1	NA	NA	NA	NA	NA	NA	99
Anthocharis cardamines	1	NA	NA	NA	NA	NA	NA	99
Anthoptus epictetus	0	NA	NA	NA	NA	NA	NA	99
Antigius attilia	1	NA	NA	NA	NA	NA	NA	99
Antillea pelops	0	NA	NA	NA	NA	NA	NA	99
Antipodia atralba	1	NA	NA	NA	NA	NA	NA	99
Antipodia chaostola	1	NA	NA	NA	NA	NA	NA	99
Antirrhea philaretes	1	NA	NA	NA	NA	NA	NA	99
Apallaga opalinus	0	NA	NA	NA	NA	NA	NA	99
Apatura metis	1	NA	NA	NA	NA	NA	NA	99
Apaturina erminia	1	NA	NA	NA	NA	NA	NA	99
Apaturopsis cleochares	0	NA	NA	NA	NA	NA	NA	99
Aphantopus hyperantus	2	187.64298	275.596922161616	88.5160789780572	2	-0.993649325377591	0.02	99
Aphnaeus orcas	4	236.942865	247.140207017677	36.639021370004	32	-0.278319170009961	0.32	99
Aphrissa boisduvalii	0	NA	NA	NA	NA	NA	NA	99
Aphrissa statira	1	NA	NA	NA	NA	NA	NA	99
Aphysoneura pigmentaria	1	NA	NA	NA	NA	NA	NA	99
Apodemia chisosensis	1	NA	NA	NA	NA	NA	NA	99
Apodemia duryi	0	NA	NA	NA	NA	NA	NA	99
Apodemia hepburni	0	NA	NA	NA	NA	NA	NA	99
Apodemia mormo	1	NA	NA	NA	NA	NA	NA	99
Apodemia murphyi	0	NA	NA	NA	NA	NA	NA	99
Apodemia palmerii	1	NA	NA	NA	NA	NA	NA	99
Aponarope sutor	0	NA	NA	NA	NA	NA	NA	99
Aporia agathon	1	NA	NA	NA	NA	NA	NA	99
Aporia crataegi	1	NA	NA	NA	NA	NA	NA	99
Apostictopterus fuliginosus	0	NA	NA	NA	NA	NA	NA	99
Appias lasti	3	211.242254666667	257.996032171717	45.8441418176654	6	-1.01984191766536	0.06	99
Appias libythea	3	80.5200233333333	254.032079996633	55.34164658439	1	-3.13528901599833	0.01	99
Appias paulina	2	237.157932	286.122550141414	110.237585378776	18	-0.444173536395704	0.18	99
Apyrrothrix araxes	0	NA	NA	NA	NA	NA	NA	99
Araotes lapithis	0	NA	NA	NA	NA	NA	NA	99
Araragi enthea	2	195.75903	264.191361414141	84.203910721474	7	-0.812697781228937	0.07	99
Araschnia levana	1	NA	NA	NA	NA	NA	NA	99
Arawacus aetolus	0	NA	NA	NA	NA	NA	NA	99
Arcas imperialis	0	NA	NA	NA	NA	NA	NA	99
Archaeoprepona demophon	2	255.403303	272.382839484848	98.708226004459	63	-0.172017441424603	0.63	99
Archaeoprepona meander	1	NA	NA	NA	NA	NA	NA	99
Archon apollinus	1	NA	NA	NA	NA	NA	NA	99
Archonias brassolis	0	NA	NA	NA	NA	NA	NA	99
Arethusana arethusa	1	NA	NA	NA	NA	NA	NA	99
Argon lota	0	NA	NA	NA	NA	NA	NA	99
Argynnina cyrila	1	NA	NA	NA	NA	NA	NA	99
Argynnis aglaja	2	247.468926	268.269719191919	93.0662851712792	36	-0.223505141025425	0.36	99
Argynnis anadyomene	1	NA	NA	NA	NA	NA	NA	99
Argynnis hyperbius	1	NA	NA	NA	NA	NA	NA	99
Argynnis laodice	1	NA	NA	NA	NA	NA	NA	99
Argynnis nerippe	1	NA	NA	NA	NA	NA	NA	99
Argynnis paphia	2	231.572306	274.79215930303	88.7199439081922	9	-0.487149240623443	0.09	99
Argynnis sagana	1	NA	NA	NA	NA	NA	NA	99
Argyraspodes argyraspis	0	NA	NA	NA	NA	NA	NA	99
Argyrophorus argenteus	0	NA	NA	NA	NA	NA	NA	99
Arhopala bazalus	1	NA	NA	NA	NA	NA	NA	99
Arhopala muta	0	NA	NA	NA	NA	NA	NA	99
Arhopala thamyras	0	NA	NA	NA	NA	NA	NA	99
Ariadne ariadne	1	NA	NA	NA	NA	NA	NA	99
Aricia agestis	2	233.987083	255.051658959596	46.7689547536728	13	-0.45039655195505	0.13	99
Arita arita	0	NA	NA	NA	NA	NA	NA	99
Aroma aroma	0	NA	NA	NA	NA	NA	NA	99
Arotis derasa	0	NA	NA	NA	NA	NA	NA	99
Arrhenes dschilus	1	NA	NA	NA	NA	NA	NA	99
Arrhenes marnas	1	NA	NA	NA	NA	NA	NA	99
Arteurotia tractipennis	0	NA	NA	NA	NA	NA	NA	99
Artipe eryx	1	NA	NA	NA	NA	NA	NA	99
Artitropa comus	1	NA	NA	NA	NA	NA	NA	99
Artitropa erinnys	1	NA	NA	NA	NA	NA	NA	99
Artopoetes pryeri	1	NA	NA	NA	NA	NA	NA	99
Asbolis capucinus	1	NA	NA	NA	NA	NA	NA	99
Ascia monuste	5	107.606892	242.394711553535	33.1497883479651	1	-4.06602353350498	0.01	99
Aslauga marshalli	0	NA	NA	NA	NA	NA	NA	99
Aspitha aspitha	0	NA	NA	NA	NA	NA	NA	99
Asterocampa celtis	1	NA	NA	NA	NA	NA	NA	99
Asterope markii	0	NA	NA	NA	NA	NA	NA	99
Astictopterus jama	1	NA	NA	NA	NA	NA	NA	99
Astraptes alector	0	NA	NA	NA	NA	NA	NA	99
Astraptes anaphus	1	NA	NA	NA	NA	NA	NA	99
Astraptes enotrus	0	NA	NA	NA	NA	NA	NA	99
Astraptes talus	2	237.158172	271.113423343434	90.1888350679578	23	-0.376490630107917	0.23	99
Atalopedes campestris	1	NA	NA	NA	NA	NA	NA	99
Atarnes sallei	0	NA	NA	NA	NA	NA	NA	99
Aterica rabena	0	NA	NA	NA	NA	NA	NA	99
Athyma perius	1	NA	NA	NA	NA	NA	NA	99
Atlantea perezi	0	NA	NA	NA	NA	NA	NA	99
Atlides halesus	1	NA	NA	NA	NA	NA	NA	99
Atrophaneura alcinous	1	NA	NA	NA	NA	NA	NA	99
Atrophaneura coon	0	NA	NA	NA	NA	NA	NA	99
Atrophaneura neptunus	0	NA	NA	NA	NA	NA	NA	99
Atrophaneura semperi	1	NA	NA	NA	NA	NA	NA	99
Atrytone arogos	1	NA	NA	NA	NA	NA	NA	99
Atrytonopsis hianna	1	NA	NA	NA	NA	NA	NA	99
Aubergina alda	0	NA	NA	NA	NA	NA	NA	99
Augiades crinisus	0	NA	NA	NA	NA	NA	NA	99
Autochton cellus	1	NA	NA	NA	NA	NA	NA	99
Axiocerses harpax	1	NA	NA	NA	NA	NA	NA	99
Azanus mirza	2	237.158162	268.901265212121	80.8072521850163	21	-0.392824930359496	0.21	99
Azanus natalensis	1	NA	NA	NA	NA	NA	NA	99
Azanus ubaldus	1	NA	NA	NA	NA	NA	NA	99
Badamia exclamationis	3	240.594659666667	244.786412993266	36.6486726736306	40	-0.11437667508257	0.4	99
Baliochila barnesi	0	NA	NA	NA	NA	NA	NA	99
Baoris farri	1	NA	NA	NA	NA	NA	NA	99
Baoris oceia	1	NA	NA	NA	NA	NA	NA	99
Baracus vittatus	1	NA	NA	NA	NA	NA	NA	99
Baronia brevicornis	0	NA	NA	NA	NA	NA	NA	99
Batesia hypochlora	0	NA	NA	NA	NA	NA	NA	99
Battus belus	0	NA	NA	NA	NA	NA	NA	99
Battus polydamas	1	NA	NA	NA	NA	NA	NA	99
Bebearia sophus	2	224.682142	259.270692424242	59.2140624257794	6	-0.584127300294532	0.06	99
Belenois calypso	1	NA	NA	NA	NA	NA	NA	99
