"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"Abaeis nicippe"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Abananote abana"	2	90.5191	271.956692727273	89.5290672591455	1	-2.02657749356524	0.01	99
"Abantis tettensis"	2	76.7222	256.331343525253	75.0202965391459	1	-2.39414067673715	0.01	99
"Abisara bifasciata"	2	188	270.240789484849	79.904165667957	1	-1.0292428285479	0.01	99
"Abisara burnii"	2	188	270.240789484849	79.904165667957	1	-1.0292428285479	0.01	99
"Abisara geza"	2	188	270.240789484849	79.904165667957	1	-1.0292428285479	0.01	99
"Abisara kausambi"	2	188	270.240789484849	79.904165667957	1	-1.0292428285479	0.01	99
"Abraximorpha davidii"	2	189.1223	272.428220464646	110.731486841128	10	-0.752323687156566	0.1	99
"Abrota ganga"	2	244.81141	256.273685969697	65.2861414568209	27	-0.175569817941805	0.27	99
"Acada biseriata"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Achalarus casica"	2	247.46887	291.595582353535	139.063155183035	38	-0.317314189336894	0.38	99
"Achalarus lyciades"	2	247.46887	291.595582353535	139.063155183035	38	-0.317314189336894	0.38	99
"Achalarus toxeus"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Achlyodes busirus"	2	118	267.463909444444	81.1855527727609	1	-1.84101609633422	0.01	99
"Achlyodes pallida"	2	118	267.463909444444	81.1855527727609	1	-1.84101609633422	0.01	99
"Acleros ploetzi"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Acraea horta"	2	188.72416	298.341901979798	133.479510894733	4	-0.821232721374342	0.04	99
"Acrodipsas myrmecophila"	0	NA	NA	NA	NA	NA	NA	99
"Acrophtalmia artemis"	0	NA	NA	NA	NA	NA	NA	99
"Acrophtalmia leuce"	0	NA	NA	NA	NA	NA	NA	99
"Acytolepis puspa"	13	233.543882564103	274.695009281015	37.8481736263903	1	-1.08726849340544	0.01	99
"Adelpha mesentina"	2	93.3981	268.114352575758	92.1242573409618	1	-1.89652820677961	0.01	99
"Adopaeoides prittwitzi"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Aemona amathusia"	2	19.29834	273.406085181818	90.3462513045997	1	-2.81259865807937	0.01	99
"Aeria eurimedia"	2	61.789	285.974808171717	110.93747598021	1	-2.02083025768235	0.01	99
"Aeromachus stigmata"	2	87.6679	267.290883181818	81.45749424505	1	-2.20511304511105	0.01	99
"Aeropetes tulbaghia"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Aethiopana honorius"	0	NA	NA	NA	NA	NA	NA	99
"Afarsia morgiana"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Afrodryas leda"	2	208.517028	259.58586189899	74.6061077664422	7	-0.684512775533918	0.07	99
"Agatasa calydonia"	2	142.4068	273.901227656566	107.570417405436	1	-1.22240324829232	0.01	99
"Agathymus aryxna"	2	135.10077	265.735167989899	82.5517002776806	2	-1.58245557087839	0.02	99
"Agathymus mariae"	2	135.10077	265.735167989899	82.5517002776806	2	-1.58245557087839	0.02	99
"Aglais io"	4	176.231916666667	272.657388348485	69.5524682214141	1	-1.38637023455237	0.01	99
"Aglais urticae"	3	180.928426666667	271.661499643098	77.3626433400561	2	-1.17282798336664	0.02	99
"Agraulis vanillae"	2	116.5963	291.628353090909	115.130385126593	1	-1.52029416820287	0.01	99
"Agriades optilete"	2	118.202	273.506599050505	103.492644940389	2	-1.50063416719091	0.02	99
"Aguna asander"	2	247.46924	290.687494787879	131.207644351668	47	-0.329388238020976	0.47	99
"Aguna claxon"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Aguna metophis"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Ahmetia achaja"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Aides duma"	2	99.1432	268.770169626263	81.4654507262533	1	-2.08219518966705	0.01	99
"Alaena amazoula"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Alenia namaqua"	2	69.4758	267.843463151515	106.275976327714	3	-1.86653343498653	0.03	99
"Allora major"	2	102.661	267.33125410101	93.2529833448676	1	-1.76584435365491	0.01	99
"Allotinus fallax"	0	NA	NA	NA	NA	NA	NA	99
"Allotinus unicolor"	0	NA	NA	NA	NA	NA	NA	99
"Aloeides pierus"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Alpherakya sarta"	2	244.81116	299.717851606061	139.187227900992	39	-0.394480818636012	0.39	99
"Altinote neleus"	2	90.5191	271.956692727273	89.5290672591455	1	-2.02657749356524	0.01	99
"Altinote tenebrosa"	2	90.5191	271.956692727273	89.5290672591455	1	-2.02657749356524	0.01	99
"Altopedaliodes tena"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Amathusia phidippus"	2	196.4188	256.621975585859	47.8633129069968	4	-1.2578146377548	0.04	99
"Amauris niavius"	2	179.50281	277.107034717172	97.6731719172521	2	-0.999294102989317	0.02	99
"Amblopala avidiena"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Amblypodia narada"	2	247.469563	276.703630515152	97.5434848715971	49	-0.29970292279012	0.49	99
"Amblyscirtes eos"	2	271.516773	263.954297545455	71.3076250113056	73	0.10605423267633	0.73	99
"Amblyscirtes simius"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Amnosia decora"	2	93.3981	268.114352575758	92.1242573409618	1	-1.89652820677961	0.01	99
"Ampittia dioscorides"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Ampittia virgata"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Anaea troglodyta"	2	247.468919	274.138619757576	100.780112787703	40	-0.264632575017617	0.4	99
"Anartia jatrophae"	6	161.944201133333	267.300923860606	47.1854878566027	1	-2.23282046055036	0.01	99
"Anastrus sempiternus"	2	193.27858	256.587618858586	76.7401048641196	5	-0.824979832522831	0.05	99
"Anatrytone logan"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Ancema ctesia"	2	159.8647	282.563350686869	111.843506319234	2	-1.09705654556869	0.02	99
"Ancistroides gemmifer"	2	51.8437	276.372270444444	97.4932570778929	1	-2.30301640517616	0.01	99
"Ancyloxypha numitor"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Andronymus neander"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Anetia briarea"	2	224.681623	274.131659636364	98.5720145066919	10	-0.501664056312926	0.1	99
"Anetia thirza"	2	61.789	285.974808171717	110.93747598021	1	-2.02083025768235	0.01	99
"Anisynta cynone"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Anisynta dominula"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Anisynta tillyardi"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Ankola fan"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Antanartia delius"	2	93.3981	268.114352575758	92.1242573409618	1	-1.89652820677961	0.01	99
"Anteos maerula"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Anteros formosus"	2	184.52865	271.893877272727	91.6964841169787	3	-0.952765289902217	0.03	99
"Anthanassa texana"	2	208.31719	267.737064161616	91.6531311827014	8	-0.648312538751879	0.08	99
"Anthene larydas"	2	231.571975	305.449670777778	142.434813321184	11	-0.518677239469449	0.11	99
"Anthocharis belia"	2	67.0275	273.61172269697	99.5854067974625	1	-2.07444272550015	0.01	99
"Anthocharis cardamines"	2	118.9514	267.000448838384	80.7372771993449	1	-1.83371366949671	0.01	99
"Anthoptus epictetus"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Antigius attilia"	2	80.4628	270.421553777778	92.3463662867055	1	-2.05702467152868	0.01	99
"Antillea pelops"	2	69.4758	267.843463151515	106.275976327714	3	-1.86653343498653	0.03	99
"Antipodia atralba"	2	89.2401	261.643425191919	60.0155174344401	1	-2.87264581831273	0.01	99
"Antipodia chaostola"	2	89.2401	261.643425191919	60.0155174344401	1	-2.87264581831273	0.01	99
"Antirrhea philaretes"	2	99.1432	268.770169626263	81.4654507262533	1	-2.08219518966705	0.01	99
"Apallaga opalinus"	2	69.4758	267.843463151515	106.275976327714	3	-1.86653343498653	0.03	99
"Apatura metis"	2	125.2141	267.234412565657	93.1945808904796	2	-1.52391170397081	0.02	99
"Apaturina erminia"	2	142.37061	268.153075414141	92.5625558029292	3	-1.35889144722775	0.03	99
"Apaturopsis cleochares"	2	93.3981	268.114352575758	92.1242573409618	1	-1.89652820677961	0.01	99
"Aphantopus hyperantus"	2	187.64298	258.536289272727	61.371363226139	3	-1.15515291735499	0.03	99
"Aphnaeus orcas"	9	237.041291	268.988597806397	39.3989693250985	4	-0.810866562086581	0.04	99
"Aphrissa boisduvalii"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Aphrissa statira"	3	240.588161333333	281.199200680135	89.0949524007007	25	-0.455817509887148	0.25	99
"Aphysoneura pigmentaria"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Apodemia chisosensis"	2	189.1223	272.428220464646	110.731486841128	10	-0.752323687156566	0.1	99
"Apodemia duryi"	2	31.524908	285.667588535354	118.401720195265	1	-2.14644415736721	0.01	99
"Apodemia hepburni"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Apodemia mormo"	2	88.9723	284.296587767677	127.621181129575	2	-1.53050054888117	0.02	99
"Apodemia murphyi"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Apodemia palmerii"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Aponarope sutor"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Aporia agathon"	2	85.8842	268.587334434343	90.2315473682056	1	-2.02482546031037	0.01	99
"Aporia crataegi"	2	189.1223	272.428220464646	110.731486841128	10	-0.752323687156566	0.1	99
"Apostictopterus fuliginosus"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Appias lasti"	3	224.200437333333	272.877086545455	73.6611683739834	5	-0.660818315628476	0.05	99
"Appias libythea"	3	168.493545333333	271.308777723906	75.0677411985028	1	-1.36963269107427	0.01	99
"Appias paulina"	2	237.15834	265.240818949495	82.5212050284258	28	-0.340306215109455	0.28	99
"Apyrrothrix araxes"	2	80.4628	270.421553777778	92.3463662867055	1	-2.05702467152868	0.01	99
"Araotes lapithis"	2	142.4068	273.901227656566	107.570417405436	1	-1.22240324829232	0.01	99
"Araragi enthea"	2	195.75913	272.472044747475	90.8199589241786	3	-0.844670220689252	0.03	99
"Araschnia levana"	2	93.3981	268.114352575758	92.1242573409618	1	-1.89652820677961	0.01	99
"Arawacus aetolus"	2	247.46944	280.117196444444	105.820254207747	44	-0.30852086577254	0.44	99
"Arcas imperialis"	3	266.350425333333	268.87270389899	69.1023292088512	86	-0.0365006302180258	0.86	99
"Archaeoprepona demophon"	5	249.4893054	268.799724133333	54.0663143887223	39	-0.357161736501894	0.39	99
"Archaeoprepona meander"	2	169.1905	277.279970141414	106.155273358808	3	-1.01822044936071	0.03	99
"Archon apollinus"	2	176.8466	261.028659353535	73.0197446242557	3	-1.15286707433337	0.03	99
"Archonias brassolis"	2	247.469203	260.198139979798	75.8131988061455	45	-0.167898692842996	0.45	99
"Arethusana arethusa"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Argon lota"	2	99.1432	268.770169626263	81.4654507262533	1	-2.08219518966705	0.01	99
"Argynnina cyrila"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Argynnis aglaja"	2	247.469126	286.788826383838	113.772696935251	35	-0.345598737157611	0.35	99
"Argynnis anadyomene"	2	141.2676	286.636868525253	116.924725897865	1	-1.24327226263703	0.01	99
"Argynnis hyperbius"	2	141.2676	286.636868525253	116.924725897865	1	-1.24327226263703	0.01	99
"Argynnis laodice"	2	231.572226	276.198308232323	108.834693456262	14	-0.410035447476657	0.14	99
"Argynnis nerippe"	2	141.2676	286.636868525253	116.924725897865	1	-1.24327226263703	0.01	99
"Argynnis paphia"	2	231.572226	276.198308232323	108.834693456262	14	-0.410035447476657	0.14	99
"Argynnis sagana"	2	141.2676	286.636868525253	116.924725897865	1	-1.24327226263703	0.01	99
"Argyraspodes argyraspis"	0	NA	NA	NA	NA	NA	NA	99
"Argyrophorus argenteus"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Arhopala bazalus"	2	80.4628	270.421553777778	92.3463662867055	1	-2.05702467152868	0.01	99
"Arhopala muta"	2	80.4628	270.421553777778	92.3463662867055	1	-2.05702467152868	0.01	99
"Arhopala thamyras"	2	143.8503	286.81176110101	110.094124590444	1	-1.29853851540974	0.01	99
"Ariadne ariadne"	2	123.7924	272.66423120202	91.8816059900887	2	-1.62025717332454	0.02	99
"Aricia agestis"	4	239.5575315	280.399654664983	69.9278737572943	13	-0.584060703843764	0.13	99
"Arita arita"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Aroma aroma"	2	48.7098	274.762379171717	98.6597749583464	1	-2.29123347653241	0.01	99
"Arotis derasa"	2	89.2401	261.643425191919	60.0155174344401	1	-2.87264581831273	0.01	99
"Arrhenes dschilus"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Arrhenes marnas"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Arteurotia tractipennis"	2	123.7924	272.66423120202	91.8816059900887	2	-1.62025717332454	0.02	99
"Artipe eryx"	2	247.469313	263.566079070707	74.4143637000703	41.5	-0.216312621251263	0.415	99
"Artitropa comus"	2	135.10077	265.735167989899	82.5517002776806	2	-1.58245557087839	0.02	99
"Artitropa erinnys"	2	135.10077	265.735167989899	82.5517002776806	2	-1.58245557087839	0.02	99
"Artopoetes pryeri"	2	64.188	264.94516710101	82.6422096269744	1	-2.42923280980961	0.01	99
"Asbolis capucinus"	2	99.1432	268.770169626263	81.4654507262533	1	-2.08219518966705	0.01	99
"Ascia monuste"	7	163.104346095238	269.303574933141	46.1069688910295	1	-2.30332271654849	0.01	99
"Aslauga marshalli"	0	NA	NA	NA	NA	NA	NA	99
"Aspitha aspitha"	2	121.5324	257.077697151515	63.1440943924201	2	-2.14660291600898	0.02	99
"Asterocampa celtis"	2	142.37061	268.153075414141	92.5625558029292	3	-1.35889144722775	0.03	99
"Asterope markii"	2	121.5324	257.077697151515	63.1440943924201	2	-2.14660291600898	0.02	99
"Astictopterus jama"	2	213.46856	257.466467020202	62.7783454564682	6	-0.700845278738847	0.06	99
"Astraptes alector"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Astraptes anaphus"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Astraptes enotrus"	2	192	296.745691383838	135.435320170237	4	-0.773400109012752	0.04	99
"Astraptes talus"	3	210.871048	276.933057535354	81.6732415862573	2	-0.808857445257437	0.02	99
"Atalopedes campestris"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Atarnes sallei"	2	142.4068	273.901227656566	107.570417405436	1	-1.22240324829232	0.01	99
"Aterica rabena"	2	141.4902	257.148013353535	60.7445906997486	1	-1.90400185467072	0.01	99
"Athyma perius"	2	189.82324	277.821097878788	97.1285242093112	2	-0.905993976487826	0.02	99
