ntaxa	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	runs
Abaeis nicippe	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Abananote abana	1	NA	NA	NA	NA	NA	NA	99
Abantis tettensis	2	76.7222	285.527610707071	110.206080678118	1	-1.89468139527558	0.01	99
Abisara bifasciata	2	188	274.990880030303	98.4657306810088	4	-0.883463509879596	0.04	99
Abisara burnii	2	188	274.990880030303	98.4657306810088	4	-0.883463509879596	0.04	99
Abisara geza	2	188	274.990880030303	98.4657306810088	4	-0.883463509879596	0.04	99
Abisara kausambi	2	188	274.990880030303	98.4657306810088	4	-0.883463509879596	0.04	99
Abraximorpha davidii	2	189.1223	267.829757666667	81.4096884627548	1	-0.966807012198255	0.01	99
Abrota ganga	2	244.81141	283.813256242424	110.729816582717	29	-0.352225330503363	0.29	99
Acada biseriata	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Achalarus casica	0	NA	NA	NA	NA	NA	NA	99
Achalarus lyciades	2	247.46887	267.931935767677	94.0669473706189	37	-0.21753725766239	0.37	99
Achalarus toxeus	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Achlyodes busirus	2	118	266.993082373737	82.2710955153474	1	-1.81100156063855	0.01	99
Achlyodes pallida	2	118	266.993082373737	82.2710955153474	1	-1.81100156063855	0.01	99
Acleros ploetzi	1	NA	NA	NA	NA	NA	NA	99
Acraea horta	2	188.72416	259.155730838384	76.1265530283735	5	-0.92519059430069	0.05	99
Acrodipsas myrmecophila	0	NA	NA	NA	NA	NA	NA	99
Acrophtalmia artemis	0	NA	NA	NA	NA	NA	NA	99
Acrophtalmia leuce	0	NA	NA	NA	NA	NA	NA	99
Acytolepis puspa	13	233.543882564103	268.821522796685	31.5838509706117	1	-1.11695183292903	0.01	99
Adelpha mesentina	2	93.3981	268.116829	69.8501055774009	1	-2.50133808038979	0.01	99
Adopaeoides prittwitzi	1	NA	NA	NA	NA	NA	NA	99
Aemona amathusia	1	NA	NA	NA	NA	NA	NA	99
Aeria eurimedia	1	NA	NA	NA	NA	NA	NA	99
Aeromachus stigmata	2	87.6679	266.250381252525	92.1764476366602	1	-1.93739817308277	0.01	99
Aeropetes tulbaghia	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Aethiopana honorius	0	NA	NA	NA	NA	NA	NA	99
Afarsia morgiana	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Afrodryas leda	2	208.517028	276.318498232323	106.043747706894	8	-0.639372633450555	0.08	99
Agatasa calydonia	2	142.4068	280.981743242424	103.782051369827	1	-1.33524960639497	0.01	99
Agathymus aryxna	2	135.10077	272.949027090909	111.155303459295	4.5	-1.24014107110408	0.045	99
Agathymus mariae	2	135.10077	272.949027090909	111.155303459295	4.5	-1.24014107110408	0.045	99
Aglais io	3	154.540293333333	266.985149198653	66.1740378604758	1	-1.69922917659042	0.01	99
Aglais urticae	2	146.93824	267.266521131313	82.8712309045868	2	-1.45199099636703	0.02	99
Agraulis vanillae	2	116.5963	278.761845919192	105.6259293437	1	-1.53528160108789	0.01	99
Agriades optilete	2	118.202	259.682612323232	59.7143833783668	1	-2.36928867584167	0.01	99
Aguna asander	1	NA	NA	NA	NA	NA	NA	99
Aguna claxon	1	NA	NA	NA	NA	NA	NA	99
Aguna metophis	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Ahmetia achaja	1	NA	NA	NA	NA	NA	NA	99
Aides duma	2	99.1432	266.184749878788	96.4424403565725	3	-1.73203362815367	0.03	99
Alaena amazoula	0	NA	NA	NA	NA	NA	NA	99
Alenia namaqua	2	69.4758	265.951632868687	70.6843324752514	1	-2.7796235175239	0.01	99
