"PD"	"SR"
"Abaeis nicippe"	325.050502	1
"Abananote abana"	325.050272	1
"Abantis tettensis"	325.050645	1
"Abisara bifasciata"	325.050484	1
"Abisara burnii"	325.050484	1
"Abisara geza"	325.050484	1
"Abisara kausambi"	325.050484	1
"Abraximorpha davidii"	325.050892	1
"Abrota ganga"	447.456212	2
"Acada biseriata"	325.050502	1
"Achalarus casica"	448.784822	2
"Achalarus lyciades"	448.784822	2
"Achalarus toxeus"	325.050502	1
"Achlyodes busirus"	325.049924	1
"Achlyodes pallida"	325.049924	1
"Acleros ploetzi"	325.050502	1
"Acraea horta"	419.412698	2
"Acrodipsas myrmecophila"	0	0
"Acrophtalmia artemis"	0	0
"Acrophtalmia leuce"	0	0
"Acytolepis puspa"	1626.226815	13
"Adelpha mesentina"	325.050262	1
"Adopaeoides prittwitzi"	325.050732	1
"Aemona amathusia"	325.050682	1
"Aeria eurimedia"	325.050552	1
"Aeromachus stigmata"	325.049505	1
"Aeropetes tulbaghia"	325.050732	1
"Aethiopana honorius"	0	0
"Afarsia morgiana"	325.050502	1
"Afrodryas leda"	391.686565	2
"Agatasa calydonia"	325.05054	1
"Agathymus aryxna"	325.050132	1
"Agathymus mariae"	325.050132	1
"Aglais io"	576.651762	4
"Aglais urticae"	497.481162	3
"Agraulis vanillae"	325.050658	1
"Agriades optilete"	325.050542	1
"Aguna asander"	448.784992	2
"Aguna claxon"	325.050502	1
"Aguna metophis"	325.050502	1
"Ahmetia achaja"	325.050502	1
"Aides duma"	325.050282	1
"Alaena amazoula"	325.050732	1
"Alenia namaqua"	325.049922	1
"Allora major"	325.050687	1
"Allotinus fallax"	0	0
"Allotinus unicolor"	0	0
"Aloeides pierus"	325.050502	1
"Alpherakya sarta"	447.456662	2
"Altinote neleus"	325.050272	1
"Altinote tenebrosa"	325.050272	1
"Altopedaliodes tena"	325.050732	1
"Amathusia phidippus"	423.259982	2
"Amauris niavius"	414.801742	2
"Amblopala avidiena"	325.050502	1
"Amblypodia narada"	448.785655	2
"Amblyscirtes eos"	460.809005	2
"Amblyscirtes simius"	325.050732	1
"Amnosia decora"	325.050262	1
"Ampittia dioscorides"	325.050732	1
"Ampittia virgata"	325.050732	1
"Anaea troglodyta"	448.784971	2
"Anartia jatrophae"	649.084821	6
"Anastrus sempiternus"	421.689385	2
"Anatrytone logan"	325.050732	1
"Ancema ctesia"	325.05083	1
"Ancistroides gemmifer"	325.050972	1
"Ancyloxypha numitor"	325.050732	1
"Andronymus neander"	325.050502	1
"Anetia briarea"	437.391584	2
"Anetia thirza"	325.050552	1
"Anisynta cynone"	325.050732	1
"Anisynta dominula"	325.050732	1
"Anisynta tillyardi"	325.050732	1
"Ankola fan"	325.050732	1
"Antanartia delius"	325.050262	1
"Anteos maerula"	325.050502	1
"Anteros formosus"	417.314485	2
"Anthanassa texana"	431.791422	2
"Anthene larydas"	440.836557	2
"Anthocharis belia"	325.050395	1
"Anthocharis cardamines"	384.526095	2
"Anthoptus epictetus"	325.050732	1
"Antigius attilia"	325.050512	1
"Antillea pelops"	325.049922	1
"Antipodia atralba"	325.050752	1
"Antipodia chaostola"	325.050752	1
"Antirrhea philaretes"	325.050282	1
"Apallaga opalinus"	325.049922	1
"Apatura metis"	325.050658	1
"Apaturina erminia"	325.050872	1
"Apaturopsis cleochares"	325.050262	1
"Aphantopus hyperantus"	418.872232	2
"Aphnaeus orcas"	1189.51379	9
"Aphrissa boisduvalii"	325.050502	1
"Aphrissa statira"	567.364324	3
"Aphysoneura pigmentaria"	325.050732	1
"Apodemia chisosensis"	325.050892	1
"Apodemia duryi"	325.050902	1
"Apodemia hepburni"	325.050502	1
"Apodemia mormo"	325.050152	1
"Apodemia murphyi"	325.050502	1
"Apodemia palmerii"	325.050502	1
"Aponarope sutor"	325.050732	1
"Aporia agathon"	325.050692	1
"Aporia crataegi"	325.050892	1
"Apostictopterus fuliginosus"	325.050732	1
"Appias lasti"	542.77174	3
"Appias libythea"	407.552165	3
"Appias paulina"	443.629524	2
"Apyrrothrix araxes"	325.050512	1
"Araotes lapithis"	325.05054	1
"Araragi enthea"	422.930042	2
"Araschnia levana"	325.050262	1
"Arawacus aetolus"	448.785392	2
"Arcas imperialis"	588.663808	3
"Archaeoprepona demophon"	801.45159	5
"Archaeoprepona meander"	325.050763	1
"Archon apollinus"	325.05077	1
"Archonias brassolis"	448.785365	2
"Arethusana arethusa"	325.050732	1
"Argon lota"	325.050282	1
"Argynnina cyrila"	325.050732	1
"Argynnis aglaja"	448.784878	2
"Argynnis anadyomene"	325.050678	1
"Argynnis hyperbius"	325.050678	1
"Argynnis laodice"	440.836938	2
"Argynnis nerippe"	325.050678	1
"Argynnis paphia"	440.836938	2
"Argynnis sagana"	325.050678	1
"Argyraspodes argyraspis"	0	0
"Argyrophorus argenteus"	325.050732	1
"Arhopala bazalus"	325.050512	1
"Arhopala muta"	325.050512	1
"Arhopala thamyras"	325.050667	1
"Ariadne ariadne"	325.050651	1
"Aricia agestis"	672.520185	4
"Arita arita"	325.050732	1
"Aroma aroma"	325.050732	1
"Arotis derasa"	325.050752	1
"Arrhenes dschilus"	325.050732	1
"Arrhenes marnas"	325.050732	1
"Arteurotia tractipennis"	325.050651	1
"Artipe eryx"	448.785265	2
"Artitropa comus"	325.050132	1
"Artitropa erinnys"	325.050132	1
"Artopoetes pryeri"	325.050562	1
"Asbolis capucinus"	325.050282	1
"Ascia monuste"	694.254265	7
"Aslauga marshalli"	0	0
"Aspitha aspitha"	325.050844	1
"Asterocampa celtis"	325.050872	1
"Asterope markii"	325.050844	1
"Astictopterus jama"	431.785122	2
"Astraptes alector"	325.050502	1
"Astraptes anaphus"	325.050502	1
"Astraptes enotrus"	325.050502	1
"Astraptes talus"	522.778164	3
"Atalopedes campestris"	325.050732	1
"Atarnes sallei"	325.05054	1
"Aterica rabena"	325.050105	1
"Athyma perius"	419.962247	2
"Atlantea perezi"	325.049922	1
"Atlides halesus"	406.52363	2
"Atrophaneura alcinous"	460.963482	2
"Atrophaneura coon"	460.963428	2
"Atrophaneura neptunus"	460.962694	2
